COMMAND> loadp
LOADP
        Please enter the name of the file: players_1.csv
        The file players_1.csv was opened
        300 players were imported
		
		
COMMAND> showp
SHOWP
        1 - Sort [A-Z]
        2 - Sort [Z-A]
        Option> 1

        Player     | Name                 | Team            | BirthDate   | Gender |
        Jasper Morales       | 2             | 2.50
        Blakely David        | 3             | 2.67
        Evelynn Burks        | 1             | 4.00
        Rylee Oneal          | 2             | 1.50
        Jaylene Valentine    | 1             | 1.00
        Joanna Church        | 3             | 1.33
        Helen Mann           | 1             | 1.00
        Javion Buck          | 1             | 4.00
        Melody Carey         | 1             | 5.00
        Briley Barrera       | 1             | 4.00
        Justus Mclean        | 1             | 0.00
        Amy Rivers           | 1             | 1.00
        Leanna Farrell       | 1             | 5.00
        Marissa Byrd         | 1             | 1.00
        Bradley Thompson     | 2             | 4.50
        Piper Paul           | 3             | 3.67
        Hanna Webb           | 1             | 4.00
        Arianna Russell      | 1             | 0.00
        Aaron Barber         | 3             | 2.33
        Gloria Alvarado      | 1             | 0.00
        Kylie Hodges         | 3             | 2.67
        Hattie Quinn         | 5             | 3.40
        Aleigha Vaughan      | 1             | 2.00
        Nehemiah Jackson     | 1             | 5.00
        Jace Patrick         | 2             | 4.50
        Kelvin Logan         | 2             | 3.00
        Jazlyn Oneil         | 3             | 3.00
        Duncan Hale          | 3             | 1.67
        Landry Calhoun       | 1             | 4.00
        Riley Acevedo        | 2             | 2.50
        Aubrie Sheppard      | 1             | 2.00
        Vincenzo Carver      | 3             | 2.00
        Blake Bond           | 1             | 3.00
        Irene Campos         | 1             | 2.00
        Jonas Moran          | 1             | 3.00
        Leandro Taylor       | 1             | 2.00
        Nikolas Horton       | 3             | 0.67
        Julie Hampton        | 1             | 5.00
        Helen Gillespie      | 5             | 3.80
        Luciana Williams     | 5             | 3.20
        Kale Kline           | 1             | 3.00
        Briana Hogan         | 1             | 3.00
        Jared Mercado        | 2             | 0.00
        Justus Golden        | 1             | 1.00
        Deon Skinner         | 2             | 2.00
        Jensen Hendrix       | 1             | 3.00
        Jovanni Cortez       | 1             | 4.00
        Jerimiah Stephens    | 1             | 3.00
        Krystal Delacruz     | 1             | 0.00
        Bryn Frost           | 1             | 1.00
        Tenley Ellison       | 1             | 4.00
        Andrew Reese         | 1             | 2.00
        Jerry Vinson         | 1             | 2.00
        Braiden Whitehead    | 1             | 3.00
        Chaim Ellison        | 2             | 3.00
        Hudson Hopper        | 1             | 2.00
        Kendal Gillespie     | 2             | 2.00
        Deangelo Blackwell   | 1             | 4.00
        Clayton Mayo         | 3             | 1.67
        Janelle Casey        | 3             | 2.33
        Dane Mcintyre        | 2             | 2.50
        Braelynn Cochran     | 2             | 2.00
        Karla Norman         | 5             | 2.00
        Ariel Castro         | 2             | 2.50
        Larry Barry          | 3             | 2.00
        Marvin Blair         | 1             | 5.00
        Kayla Montgomery     | 5             | 2.80
        Angelica Roman       | 5             | 1.60
        Emiliano Jefferson   | 2             | 3.50
        Casen Hebert         | 1             | 0.00
        Kyndal Parsons       | 3             | 2.00
        Janessa Ball         | 1             | 3.00
        Laurel Leonard       | 1             | 3.00
        Sky Villarreal       | 1             | 1.00
        Whitney Gay          | 5             | 2.60
        Louis Stewart        | 2             | 1.50
        Danika Pratt         | 5             | 1.60
        Liana Mccormick      | 5             | 2.60
        Adeline Hartman      | 5             | 1.80
        Frederick Buck       | 1             | 1.00
        Shayla Downs         | 2             | 3.50
        Lena Mcfadden        | 1             | 4.00
        Carly Combs          | 2             | 2.50
        Paige Trujillo       | 2             | 2.50
        Shelby Payne         | 2             | 3.50
        Evelynn Singleton    | 3             | 3.00
        Lilyanna Dennis      | 2             | 2.50
        Dawson Fulton        | 1             | 2.00
        Hudson Blair         | 2             | 2.50
        Angelique Carney     | 5             | 2.40
        Uriah Hughes         | 2             | 1.00
        Emmalyn Elliott      | 1             | 4.00
        Kendrick Berry       | 2             | 1.50
        Michelle York        | 5             | 1.80
        Liana Ruiz           | 1             | 3.00
        Lola Hines           | 1             | 2.00
        Maggie Herman        | 5             | 1.80
        April Carey          | 1             | 2.00
        Bowen Rush           | 2             | 2.00
        Yareli Hewitt        | 1             | 4.00
        Hana Burke           | 1             | 2.00
        Braden Puckett       | 1             | 5.00
        Ernest Garrett       | 2             | 2.00
        Alondra Herman       | 1             | 2.00
        Rodolfo Vazquez      | 1             | 1.00
        Jolene Kent          | 1             | 2.00
        Esteban Welch        | 1             | 0.00
        Adeline Terry        | 5             | 3.20
        Hadley Matthews      | 1             | 2.00
        Laurel Morin         | 2             | 3.00
        Nicolas Black        | 1             | 3.00
        Martin Harrell       | 1             | 2.00
        Konner Emerson       | 3             | 2.33
        Dillon Livingston    | 2             | 3.00
        Richard Bryan        | 2             | 1.50
        Julius Kelley        | 1             | 3.00
        Cesar Medina         | 1             | 1.00
        Mira Dillard         | 5             | 2.00
        Alanna Conley        | 5             | 3.00
        Kaia Delaney         | 2             | 0.50
        John Davis           | 3             | 2.33
        Roselyn Tucker       | 1             | 4.00
        Ariella Boyle        | 1             | 4.00
        Claire Gonzalez      | 1             | 4.00
        Jaidyn Gates         | 2             | 1.50
        Alexandria Dickerson | 5             | 1.40
        Alexis Riley         | 1             | 2.00
        Steve Bullock        | 1             | 3.00
        Madeleine Saunders   | 1             | 4.00
        Addison Flowers      | 3             | 3.00
        Orlando Byrd         | 1             | 2.00
        Jeremiah Sparks      | 1             | 3.00
        Rayden Lang          | 1             | 1.00
        Charli Tyson         | 3             | 4.33
        Lance Blair          | 1             | 4.00
        Demetrius Landry     | 3             | 3.67
        Edwin Finch          | 3             | 2.67
        Siena Ford           | 4             | 2.00
        Briana Mckenzie      | 1             | 4.00
        Joyce Barnett        | 3             | 3.33
        Simone Golden        | 2             | 3.00
        Sawyer Lindsay       | 3             | 1.67
        Kai Duran            | 3             | 2.33
        Destinee Juarez      | 4             | 1.25
        Miriam Odonnell      | 3             | 1.67
        Trevon Hodges        | 3             | 2.00
        Carmelo Suarez       | 3             | 3.00
        Kaylyn Navarro       | 1             | 1.00
        Craig Wilcox         | 1             | 4.00
        Caitlin Spears       | 3             | 2.67
        Dakota Leonard       | 1             | 4.00
        David Cortez         | 3             | 2.33
        Lina Atkins          | 1             | 1.00
        Carley Wood          | 2             | 3.50
        Alexa Justice        | 2             | 1.50
        Angela Harding       | 4             | 2.25
        Alexia Craft         | 1             | 3.00
        Taylor Delacruz      | 2             | 1.00
        Saige Patton         | 2             | 2.00
        Adriana Shaw         | 2             | 1.50
        Samara Gregory       | 4             | 1.50
        Keyon Pollard        | 3             | 3.00
        Joseph Melton        | 1             | 3.00
        Gracelyn Wilder      | 3             | 2.67
        Brooke Cabrera       | 4             | 3.25
        Dorian Rich          | 3             | 2.00
        Abrielle Jefferson   | 2             | 4.00
        Elisha Chambers      | 2             | 3.50
        Tia Buchanan         | 3             | 1.33
        Myles Reid           | 3             | 3.00
        Amiyah Caldwell      | 4             | 3.50
        Bryn Soto            | 1             | 1.00
        Brycen Schmidt       | 2             | 3.50
        Kinley Baird         | 3             | 1.00
        Tristen Neal         | 2             | 2.50
        Denise Wilkinson     | 3             | 2.00
        Chace Emerson        | 2             | 3.50
        Melody Whitney       | 3             | 2.67
        Leila Mclean         | 2             | 1.00
        Melina Livingston    | 3             | 2.67
        Dillon Gentry        | 3             | 2.67
        Messiah Cline        | 1             | 1.00
        Thaddeus Carrillo    | 3             | 2.33
        Trace Franks         | 1             | 1.00
        Quinn Becker         | 3             | 1.67
        Annie Jimenez        | 3             | 2.67
        Jazmine Wilkerson    | 2             | 4.00
        Amanda Wiggins       | 3             | 3.33
        Saniya Wood          | 3             | 2.67
        Hamza Watson         | 3             | 1.33
        Marilyn Boyle        | 3             | 2.67
        Addison Cantrell     | 3             | 3.33
        Chaim Flores         | 3             | 0.67
        Shania Peters        | 2             | 2.50
        Mohammed Andrews     | 1             | 1.00


COMMAND> mfoulg
MFOULG
        FOULS AVERAGE PER GAME

        #Game | Av.Fouls
        ================
        01    | 2.33
        02    | 2.50
        03    | 2.37
        04    | 2.33
        05    | 1.67
        06    | 1.75
        07    | 2.64
        08    | 2.91
        09    | 2.44
        10    | 3.00
        11    | 1.85
        12    | 2.80
        13    | 2.17
        14    | 1.87
        15    | 2.65
        16    | 2.43
        17    | 3.25
        18    | 2.75
        19    | 2.13
        20    | 2.00
        21    | 3.27
        22    | 2.11
        23    | 3.00
        24    | 2.53
        25    | 3.06
        26    | 2.38
        27    | 2.43
        28    | 1.54
        29    | 2.90
        30    | 1.57
        31    | 2.91
        32    | 2.60
        33    | 3.28
        34    | 2.68
        35    | 2.38
        36    | 2.17
        37    | 2.75
        38    | 2.27
        39    | 2.35
        40    | 2.68
        41    | 2.18
        42    | 0.00
        43    | 0.00

COMMAND> fairplay
FAIRPLAY
        Team: Maia Clube      | Fouls: 261  | Games: 110  | Fouls Average: 2.37
        Team: Esgueira        | Fouls: 198  | Games: 81   | Fouls Average: 2.44
        Team: FC Porto        | Fouls: 128  | Games: 52   | Fouls Average: 2.46
        Team: Imortal         | Fouls: 157  | Games: 57   | Fouls Average: 2.75
